HHSerialW1,Wave 1 Household serial number
HHSerialW2,Wave 2 Household serial number
HHSerialW3,Wave 3 Household serial number
HHSerialW4,Wave 4 Household serial number
HHSerialW5,Wave 5 Household serial number
AreaW1,Area W1
AddressW1,Address W1
HholdW1,Household W1
YearW1,Year W1
MonthW1,Month W1
AreaW2,Area W2
AddressW2,Address W2
HholdW2,Household W2
YearW2,Year W2
MonthW2,Month W2
AreaW3,Area W3
AddressW3,Address W3
HholdW3,Household W3
YearW3,Year W3
MonthW3,Month W3
Areaw4,Area W4
Addressw4,Address W4
Hholdw4,Household W4
Yearw4,Year W4
MonthW4,Month W4
AreaW5,Area W5
AddressW5,Address W5
HHoldW5,Household W5
YearW5,Year W5
MonthW5,Month W5
CaseW1,Anonymised case for W1
CaseW2,Anonymised case for W2
CaseW3,Anonymised case for W3
CaseW4,Anonymised case for W4
CaseW5,Anonymised case for W5
HOutW5,Wave 5 Household outcome code
w5xshhwgt,W5 cross-sectional hh weight
AccomW5,Type of accommodation
FltTypW5,Type of flatmaisonette
AccOthW5,Other types of accommodation
Ten1W5,Tenure
TiedW5,Accomm tied to job
LLordW5,Landlord
FurnW5,If furnished
DVPriRntW5,DV private renting household
HHownW5,How became owner of main residence
HBedrmW5,Number of bedrooms
HAgeBW5,When was main res built
HAgeYrW5,Year built main res if 1985 or later
HBuyYrW5,Year bought main residence
HBuySeW5,Season/quarter main rsidence bought
HShareW5,Whether shares ownership of main res
HSharePW5,Shared percentage of main residence
HPriceW5,Price paid for all or share of main res
HPriceBW5,Estimate of price paid for all or share of main res
HBFromW5,Who bought main res from
HRTBevW5,Ever bought home from LA under RTB
HHOSchW5,Ever bought thru assisted home ownership scheme
HValueW5,Expected current value of main res
HValBW5,Estimated value of  main residence
Hext1W5,How extended property
Hext2W5,How extended property
Hext3W5,How extended property
Hext4W5,How extended property
MNumbNW5,Number mortgages or loans on property
MNumbW5,Number of mortgages/loans
MW2Chk1W5,Still have this mortgage
MW2Chk2W5,Still have this mortgage
MW2Chk3W5,Still have this mortgage
MExtnW5,Increased borrowing?
MExtRs1W5,Reason for extra borrowing
MExtRs2W5,Reason for extra borrowing
MExtRs3W5,Reason for extra borrowing
MChgeW5,New mortgages on property in last two years?
MChgeNumW5,Number mortgages taken out in last two years
MNumbOW5,Number outstanding mortgages on property
MName1W5,In whose name is the mortgage held?
MOname1W5,Person sole mortgage loan holder
MJname01W5,Person(s) joint mortgage or loan holder
MJname02W5,Person(s) joint mortgage or loan holder
MJname03W5,Person(s) joint mortgage or loan holder
MJname04W5,Person(s) joint mortgage or loan holder
MReas01W5,Reasons why mortgage taken out
MReas02W5,Reasons why mortgage taken out
